step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.16112,1.0,1.8302,0.5
2,0.76011,0.90909,4.45146,0.3
3,1.81231,0.33333,4.27159,0.25
4,1.0409,0.6,5.83798,0.16667
5,0.96594,1.0,1.36592,1.0
6,0.76597,0.8125,3.21629,0.75
7,0.31538,1.0,1.735,0.45455
8,5.34952,0.25,4.16397,0.33333
9,2.85045,0.33333,5.20665,0.0
10,4.27621,0.16667,2.33175,0.57143
11,0.80417,0.875,1.46889,0.5
12,2.75299,0.33333,5.02536,0.3
13,3.49663,0.33333,4.94615,0.25
14,2.27337,0.625,6.01757,0.0
15,1.49282,1.0,2.78932,0.0
16,5.7819,0.06452,3.28571,0.5
17,5.71752,0.0,1.65324,0.45455
18,1.21643,0.6,4.62964,0.0
19,0.15288,1.0,5.37542,0.14286
20,5.46936,0.0,2.41829,0.42857
21,4.55295,0.20779,3.27764,0.0
22,0.41434,0.91667,4.86875,0.2
23,3.62656,0.5,5.31159,0.25
24,4.98541,0.11765,5.69099,0.0
25,6.29653,0.22222,2.74551,0.0
26,2.69688,0.57692,3.52917,0.5
27,2.91752,0.6,1.66129,0.45455
28,1.8482,0.46154,4.76228,0.0
29,0.44485,0.8,5.23233,0.0
30,3.0073,0.33333,2.35153,0.57143
31,5.77643,0.0,2.7525,0.0
32,0.41218,0.94118,4.64489,0.2
33,1.50068,0.71429,4.72523,0.25
34,1.33726,0.74286,5.74681,0.0
35,0.19709,1.0,1.98234,0.5
36,1.42908,0.5,3.20147,0.75
37,1.96716,0.33333,1.68576,0.45455
38,1.49668,0.73659,4.19911,0.33333
39,4.68002,0.33333,5.11982,0.0
40,3.37702,0.5,2.26872,0.57143
41,1.83062,0.54707,1.70541,0.5
42,3.14966,0.38298,4.74492,0.3
43,0.51895,0.91667,4.27552,0.25
44,1.76187,0.66667,5.8676,0.0
45,0.70341,0.9434,1.56859,0.5
46,3.71528,0.33333,3.12551,0.75
47,2.12633,0.65385,1.74758,0.45455
48,0.58885,0.88889,4.2169,0.33333
49,1.78464,0.72222,5.12861,0.0
50,1.74319,0.7,2.26377,0.57143
51,2.48684,0.42857,1.73179,0.5
52,2.95664,0.5,4.68823,0.3
