step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,5.61019,0.25,12.81174,0.0
2,5.34312,0.30769,6.65672,0.2
3,13.78542,0.0,8.68377,0.0
4,1.90839,0.67317,7.69959,0.0
5,6.02885,0.3,12.14035,0.0
6,3.72615,0.5,6.18717,0.25
7,11.77668,0.0,4.07892,0.36364
8,1.73617,0.875,11.07691,0.0
9,5.44031,0.4,7.76991,0.14286
10,9.94902,0.0,5.16881,0.42857
11,5.12994,0.13333,11.92193,0.0
12,2.45678,0.59375,6.32592,0.3
13,1.43405,0.75,7.91797,0.0
14,7.88992,0.0,7.27577,0.0
15,7.49541,0.25,10.07712,0.0
16,3.86969,0.22222,5.24411,0.25
17,8.51751,0.0,3.49444,0.36364
18,7.98426,0.0,9.24022,0.0
19,7.40043,0.0,6.99962,0.14286
20,9.2118,0.0,4.3819,0.57143
21,3.80588,0.38298,9.23912,0.0
22,10.0646,0.0,5.58773,0.2
23,9.5025,0.0,6.83564,0.0
24,6.36897,0.0,6.66105,0.0
25,3.33061,0.53846,7.17384,0.0
26,8.59005,0.0,4.42504,0.25
27,7.3579,0.0,3.04176,0.45455
28,7.15104,0.0,7.44671,0.0
29,7.54559,0.0,6.2363,0.14286
30,5.61008,0.3,3.85777,0.57143
31,7.4772,0.0,6.06746,0.0
32,2.72934,0.54545,5.12323,0.2
33,0.74448,0.91176,5.9016,0.25
34,3.18049,0.4,6.09223,0.0
35,4.85652,0.0,5.4513,0.0
36,7.53103,0.0,3.77286,0.5
37,1.97177,0.51883,2.77615,0.45455
38,5.63858,0.0,6.61091,0.0
39,9.02403,0.0,5.80085,0.14286
40,2.19727,0.72222,3.60544,0.57143
41,7.78355,0.0,4.55799,0.0
42,1.8366,0.71429,5.02828,0.2
43,5.69886,0.2,5.65478,0.25
44,4.67284,0.19481,5.96587,0.0
45,4.40895,0.33333,4.4698,0.0
46,5.05346,0.05882,3.54372,0.5
47,0.79855,0.92453,2.77528,0.45455
48,0.89836,0.89583,6.45278,0.0
49,7.88051,0.0,5.66245,0.14286
50,3.63522,0.625,3.54032,0.57143
51,4.6217,0.28571,4.40627,0.5
52,7.89889,0.0,4.99821,0.2
