step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.74045,0.80146,6.25145,0.0
2,1.17274,0.78378,5.70363,0.18182
3,3.23118,0.6,6.00106,0.0
4,4.42279,0.5,5.80302,0.0
5,3.04507,0.35714,2.13121,0.0
6,0.87834,0.91837,4.10674,0.2
7,3.79467,0.3125,1.87331,0.58333
8,10.95288,0.25,5.45006,0.0
9,6.33352,0.33333,5.95772,0.25
10,5.49094,0.14286,1.28122,0.5
11,2.67015,0.25,1.1319,0.0
12,6.38633,0.25,3.73744,0.36364
13,3.62129,0.25,4.24093,0.2
14,4.25792,0.55556,6.09283,0.0
15,6.52168,0.14286,0.54129,0.33333
16,4.35167,0.25,2.31381,0.0
17,5.19206,0.1875,1.58924,0.58333
18,4.84301,0.2,3.90178,0.0
19,4.10124,0.42857,5.76168,0.25
20,4.204,0.25161,1.00306,0.625
21,0.81643,1.0,0.90193,0.33333
22,4.45739,0.36364,3.91027,0.27273
23,2.05886,0.72973,3.89633,0.2
24,2.49076,0.55556,5.89191,0.0
25,3.32549,0.5,0.64289,0.33333
26,2.92623,0.45833,2.16522,0.0
27,4.97776,0.11538,1.57405,0.58333
28,1.62973,0.33333,3.43503,0.0
29,1.63258,0.69903,5.48586,0.25
30,2.83409,0.59259,1.05577,0.625
31,1.28818,0.75758,0.84668,0.33333
32,0.62141,0.88,3.91234,0.27273
33,3.27253,0.66667,3.78103,0.2
34,0.30584,0.94286,5.71873,0.0
35,2.16222,0.5,0.5942,0.33333
36,5.7735,0.3,2.09221,0.2
37,2.67848,0.4,1.60283,0.58333
38,1.91064,0.5,3.37529,0.0
39,1.6327,0.66667,5.33121,0.25
40,5.7142,0.25,1.17134,0.625
41,4.61762,0.5,0.82411,0.0
42,3.05147,0.25,3.9624,0.27273
43,1.51507,0.5,3.7044,0.2
44,1.11263,0.80556,5.59922,0.14286
45,1.46912,0.66667,0.57377,0.33333
46,3.03453,0.5,2.04296,0.2
47,5.7094,0.08333,1.58729,0.58333
48,4.06388,0.54545,3.42966,0.0
49,0.57662,0.94444,5.11723,0.25
50,1.05774,0.7,1.24708,0.625
51,1.98202,0.5,0.78339,0.0
52,3.22792,0.4,3.95532,0.27273
