step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.46983,0.45455,2.78373,0.5
2,5.57827,0.25,4.86513,0.2
3,4.24667,0.33333,4.73179,0.25
4,1.97029,0.44444,5.67737,0.0
5,1.96748,0.6,2.69582,0.5
6,6.20987,0.03226,3.47353,0.75
7,2.52693,0.61538,2.29566,0.54545
8,1.82858,0.75,4.53415,0.0
9,6.7688,0.0,5.10639,0.14286
10,1.40612,0.6,2.8075,0.42857
11,1.6282,0.72195,2.66663,0.5
12,1.84293,0.6,4.67993,0.2
13,3.28709,0.625,4.86339,0.25
14,3.05735,0.33333,5.63517,0.16667
15,4.70318,0.33333,2.09177,0.5
16,4.08653,0.33333,3.40118,0.75
17,3.68589,0.4,2.08513,0.54545
18,1.27354,0.375,4.25816,0.33333
19,3.72778,0.28571,5.04781,0.14286
20,5.45125,0.14286,2.77246,0.71429
21,6.91727,0.14286,2.00729,0.5
22,5.06809,0.33333,4.7598,0.2
23,2.71922,0.5,5.11501,0.25
24,2.7469,0.57692,5.72339,0.0
25,1.58709,0.625,2.31098,0.5
26,0.73022,0.86111,3.51854,0.75
27,2.89228,0.38462,2.03817,0.54545
28,5.65115,0.0,4.85626,0.0
29,3.97414,0.33333,5.01361,0.14286
30,2.08134,0.5,2.63563,0.71429
31,4.59747,0.0,2.66332,0.5
32,1.54874,0.74286,4.66632,0.4
33,4.27811,0.0,4.75405,0.25
34,0.51332,0.94118,5.69149,0.0
35,3.75645,0.33333,2.66627,0.0
36,1.18817,0.75,3.23072,0.75
37,7.43895,0.11111,2.08719,0.45455
38,4.97228,0.07843,5.15105,0.0
39,4.71595,0.33333,4.93091,0.14286
40,0.73522,0.9375,2.62331,0.57143
41,3.07085,0.4,2.8053,0.5
42,2.63689,0.5,4.53481,0.4
43,0.69747,0.9434,4.41389,0.25
44,1.87488,0.53243,5.66878,0.0
45,5.57518,0.25,2.24806,0.5
46,4.56976,0.2013,3.08211,0.75
47,2.61481,0.4,2.02994,0.45455
48,3.92101,0.0,5.05595,0.0
49,5.70731,0.33333,4.88371,0.14286
50,3.0176,0.5,2.52431,0.71429
51,1.90623,0.72222,2.53335,0.5
52,3.43309,0.38298,4.48963,0.4
