step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.56894,0.33333,4.40475,0.5
2,3.95836,0.4,4.98829,0.2
3,5.46888,0.2,5.60215,0.25
4,3.8704,0.13333,5.94392,0.0
5,6.29164,0.33333,4.44748,0.0
6,4.56061,0.5,3.65632,0.5
7,1.97487,0.75,2.65878,0.45455
8,2.31806,0.6,6.09202,0.0
9,3.9712,0.5,5.53632,0.14286
10,3.15238,0.53846,3.10004,0.57143
11,4.97986,0.4,3.89996,0.5
12,0.92788,0.92453,4.95079,0.3
13,3.96299,0.23077,5.17271,0.25
14,4.64735,0.19481,5.87625,0.0
15,3.45161,0.2,3.8888,0.0
16,6.80921,0.33333,3.73424,0.5
17,7.10517,0.14286,2.49059,0.45455
18,6.1688,0.0,5.88057,0.0
19,2.69112,0.6,5.5002,0.14286
20,1.94168,0.52197,3.06673,0.57143
21,4.43374,0.28571,4.42082,0.0
22,0.98252,0.83333,4.89378,0.2
23,4.83303,0.33333,5.22339,0.25
24,2.14235,0.69444,5.84716,0.0
25,1.74392,0.65625,3.57923,0.0
26,4.91781,0.0,3.76953,0.5
27,6.08285,0.14286,2.43173,0.45455
28,4.47794,0.0,5.53643,0.0
29,3.74808,0.33333,5.33979,0.14286
30,2.43908,0.5,2.97524,0.57143
31,6.80374,0.0,3.53752,0.5
32,3.88526,0.5,4.84347,0.2
33,1.66468,0.7122,5.06105,0.25
34,2.90706,0.53846,5.7595,0.0
35,5.30505,0.33333,2.60223,0.5
36,5.86439,0.33333,3.56795,0.75
37,5.57113,0.0,2.35762,0.54545
38,0.87266,0.83333,4.53206,0.33333
39,1.83784,0.68571,5.12173,0.14286
40,0.63165,0.88235,2.79397,0.71429
41,5.37267,0.16667,2.67174,0.5
42,2.74326,0.45455,4.9343,0.2
43,3.44898,0.3617,4.83265,0.25
44,7.06268,0.0,5.7286,0.0
45,4.90026,0.33333,2.59477,0.5
46,3.45751,0.375,3.42569,0.75
47,0.92564,0.83333,2.38107,0.45455
48,4.97064,0.07843,4.49104,0.33333
49,6.18402,0.03226,5.14712,0.14286
50,5.60652,0.25,2.78501,0.57143
51,7.3374,0.11111,2.7783,0.5
52,5.74644,0.25,4.86256,0.2
