step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.2567,0.58333,0.28195,0.33333
2,1.57479,0.66667,3.80277,0.27273
3,0.96445,0.75758,3.44601,0.2
4,0.83111,0.8,5.07432,0.0
5,1.11117,0.66667,0.37895,0.33333
6,1.55151,0.5,2.21426,0.2
7,1.34941,0.5,1.54019,0.58333
8,3.26487,0.5,3.9954,0.0
9,2.8478,0.42857,5.12517,0.25
10,0.33213,0.92,0.98706,0.625
11,5.39499,0.08333,0.17194,0.33333
12,0.37756,1.0,4.01214,0.27273
13,0.19618,1.0,3.32721,0.2
14,0.10314,1.0,5.40473,0.0
15,1.26989,0.64286,0.33343,0.33333
16,1.16862,0.75,1.69698,0.4
17,1.086,0.77778,1.49928,0.58333
18,1.26639,0.75,4.02941,0.0
19,2.40483,0.77778,5.30353,0.25
20,0.63165,0.89189,1.20574,0.625
21,1.86141,0.6,0.05416,0.33333
22,4.26491,0.5,4.26356,0.27273
23,3.15961,0.54545,3.52053,0.2
24,2.11993,0.66667,5.50054,0.14286
25,2.42131,0.59259,0.27636,0.33333
26,0.20372,1.0,1.33937,0.2
27,2.1708,0.4,1.68531,0.5
28,3.84001,0.28571,3.90724,0.0
29,0.59737,0.84431,5.04531,0.25
30,1.50086,0.70874,1.41444,0.5
31,5.11894,0.28571,0.1405,0.33333
32,4.04009,0.27742,4.23166,0.27273
33,2.09033,0.75,3.63773,0.2
34,0.15919,1.0,5.41753,0.14286
35,0.76713,1.0,0.2537,0.33333
36,2.29706,0.5,1.46052,0.2
37,1.38861,0.75676,1.82174,0.5
38,5.54428,0.25,3.68389,0.0
39,3.8722,0.33333,5.00882,0.25
40,0.45884,0.94444,1.39933,0.5
41,2.0719,0.62963,0.17381,0.33333
42,1.69089,0.5,4.15868,0.27273
43,1.85556,0.65625,3.68029,0.2
44,0.36871,0.93878,5.38154,0.14286
45,1.66167,0.5625,0.23916,0.33333
46,5.01613,0.5,1.57771,0.2
47,3.81683,0.25,1.81146,0.5
48,0.79155,0.6,3.61109,0.0
49,0.14621,0.94286,5.08882,0.25
50,4.7323,0.15385,1.31642,0.5
51,3.30887,0.63636,0.1721,0.33333
52,2.50954,0.45833,4.08859,0.27273
