step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.36623,0.5,0.78019,0.0
2,2.43845,0.42857,3.94489,0.27273
3,2.95156,0.55556,3.63272,0.2
4,2.68033,0.2,5.48273,0.14286
5,1.77243,0.5,0.51831,0.33333
6,0.84653,0.81081,2.12486,0.2
7,0.51466,0.88,1.55304,0.58333
8,3.8348,0.54545,3.6316,0.0
9,1.76856,0.75676,5.22517,0.25
10,0.50935,0.93878,1.0286,0.625
11,4.89644,0.5,0.56747,0.33333
12,0.69308,0.66667,3.65226,0.36364
13,2.45368,0.5,3.51031,0.2
14,2.30606,0.25,5.28536,0.0
15,1.63865,0.5,0.37558,0.33333
16,2.66807,0.25,2.17469,0.2
17,3.70675,0.54545,1.63264,0.58333
18,2.22417,0.62963,3.37415,0.0
19,3.20442,0.5,5.17291,0.25
20,2.63854,0.53125,0.97936,0.625
21,4.543,0.25,0.41276,0.33333
22,1.19094,0.75758,3.72966,0.36364
23,3.35136,0.4,3.44787,0.2
24,2.5992,0.59259,5.22478,0.0
25,1.68285,0.58333,0.36671,0.33333
26,0.49653,1.0,2.06287,0.2
27,4.14285,0.27742,1.65351,0.58333
28,1.5702,0.70388,3.38623,0.0
29,5.52959,0.4,5.14371,0.25
30,0.20457,0.94286,0.99558,0.625
31,1.92775,0.375,0.33118,0.33333
32,2.2051,0.6,3.84603,0.27273
33,3.32188,0.42857,3.4676,0.2
34,5.47891,0.16667,5.10476,0.0
35,1.89898,0.66667,0.33844,0.33333
36,0.50479,0.94444,1.97103,0.0
37,5.63668,0.25,1.67344,0.58333
38,3.86518,0.28571,3.36158,0.0
39,1.70083,0.5,5.13398,0.25
40,0.60769,0.83908,1.03639,0.625
41,4.20199,0.5,0.29519,0.33333
42,1.25044,0.75,3.80342,0.27273
43,0.90799,0.8,3.43873,0.2
44,4.95623,0.28571,5.04537,0.0
45,3.18783,0.5,0.3529,0.33333
46,2.36533,0.66667,1.98291,0.0
47,2.44249,0.47917,1.66053,0.58333
48,0.45847,1.0,3.36149,0.0
49,1.07813,0.80556,5.26272,0.25
50,0.87838,1.0,1.03033,0.625
51,1.18955,0.75,0.2853,0.33333
52,4.70692,0.13462,3.82157,0.27273
